load-req,load-ach,CPU,cycles,RTT mean,,,,,,,,,,,
100,100,40,,1138,,,,,,,,,,,
200,200,56,,1045,,,,,,,,,,,
300,300,76,,1028,,,,,,,,,,,
400,400,100,,1048,,,,,,,,,,,
500,500,112,,1024,,,,,,,,,,,
600,600,128,,980,,,,,,,,,,,
700,700,136,,974,,,,,,,,,,,
800,792.23,152,,1000,,,,,,,,,,,
900,806.52,164,,1544,,,,,,,,,,,
1000,809.9,164,,2079,,,,,,,,,,,
#,Source https://github.com/lucypa/thesis/blob/main/imgs/benchmarks/linux_multicore.ipbench,,,,,,,,,,,,,,
#,Measured by Lucy using ipbench 2023-10-20,,,,,,,,,,,,,,
#,Linux multicore,,,,,,,,,,,,,
