L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions,KernelUtilisation,KernelEntries,NumberSchedules,TotalUtilisation
5654561,27266148,6367629,25764318,3385637087,5845294,4218587909,4640752,4386611,614285105591
5864961,29196931,6554793,27077243,3856907297,5986965,4332145895,4710721,4442512,331672483225
6740695,35474884,7820825,32662039,3053699589,7142364,5134186583,5527161,5240945,162076980924
7744213,42022087,8824316,37556966,6041255127,9554190,5904713758,6468409,5953892,105327534969
6384439,38667269,7535447,34696467,2538187014,9551311,7230689167,8051635,7465701,77333505859
3420985,29249584,4694745,24269997,3682883271,6117234,6871438373,7623823,7229927,67868371281
3090260,33110171,4112845,22772237,4554543637,6599891,5931699759,6568622,6198727,63071897972
2864817,37212759,3674006,21752506,2534133006,7056944,5187904474,5731709,5373589,60196980640
2708776,41634206,3326943,21230980,5372880897,7449702,4619927034,5080712,4738852,58267414558
2551530,47674610,3031272,21548362,4281916813,8002944,4102002705,4487862,4143868,57174350743
2400139,51450129,2760945,22189050,7387700868,8282977,3665801707,3989420,3651468,56134913047
2419855,53986625,2588033,21902557,7142863271,8661720,3343640818,3628176,3284437,55845632709
2453765,52630958,2586890,21715576,7359556840,8769874,3337374886,3626013,3281898,56006509475
